name_raw,name_canonical,category,role_raw,character,studio,inclusion_class,source_ref
Daniel Kole,,Art,Cloth/Hair Simulation Artists,,Blur,core,mobygames:tr242
Mark Lipsmeyer,,Art,Cloth/Hair Simulation Artists,,Blur,core,mobygames:tr242
James Marcus,,Art,Cloth/Hair Simulation Artists,,Blur,core,mobygames:tr242
Lennon Montejo,,Art,Cloth/Hair Simulation Artists,,Blur,core,mobygames:tr242
Yury Sakovich,,Art,Cloth/Hair Simulation Artists,,Blur,core,mobygames:tr242
Jace Trimmer,,Art,Cloth/Hair Simulation Artists,,Blur,core,mobygames:tr242
Zachary Cork,,Other,Prop/Vehicle Modeling Lead,,Blur,core,mobygames:tr244
Rafael Amarante,,Other,Prop/Vehicle Modelers,,Blur,core,mobygames:tr245
Davide Di Giannantonio Potente,,Other,Prop/Vehicle Modelers,,Blur,core,mobygames:tr245
Yann Goument,,Other,Prop/Vehicle Modelers,,Blur,core,mobygames:tr245
Brandon Hall,,Other,Prop/Vehicle Modelers,,Blur,core,mobygames:tr245
Jinho Jang,,Other,Prop/Vehicle Modelers,,Blur,core,mobygames:tr245
Gavriil Klimov,,Other,Prop/Vehicle Modelers,,Blur,core,mobygames:tr245
Leo Krajden,,Other,Prop/Vehicle Modelers,,Blur,core,mobygames:tr245
Yaron Levi,,Other,Prop/Vehicle Modelers,,Blur,core,mobygames:tr245
Jose Manuel Linares Lopez,,Other,Prop/Vehicle Modelers,,Blur,core,mobygames:tr245
Justin Mijal,,Other,Prop/Vehicle Modelers,,Blur,core,mobygames:tr245
Andrei Samardac,,Other,Prop/Vehicle Modelers,,Blur,core,mobygames:tr245
Sergey Samuilov,,Other,Prop/Vehicle Modelers,,Blur,core,mobygames:tr245
Rahul Shrimali,,Other,Prop/Vehicle Modelers,,Blur,core,mobygames:tr245
Cki Vang,,Other,Prop/Vehicle Modelers,,Blur,core,mobygames:tr245
Norbert Varga,,Other,Prop/Vehicle Modelers,,Blur,core,mobygames:tr245
James Atilano,,Art,Environment Modeling Leads,,Blur,core,mobygames:tr247
Gary Christian,,Art,Environment Modeling Leads,,Blur,core,mobygames:tr247
Colin James,,Art,Environment Modeling Leads,,Blur,core,mobygames:tr247
